Link,Concelho,Freguesia,Price,Bedrooms,Area (m²),Condition,Bathrooms
https://www.imovirtual.com/en/anuncio/t1-proximo-metro-amadora-este-ID16RZf.html#656cef6a19,Amadora,Nova,142500,T2,65.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t2-novo-em-condominio-privado-duque-70-no-centro-de-lisboa-com-estac-ID17byZ.html#656cef6a19,Lisboa,Arroios,765000,T2,125.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-avenida-do-brasil-amadora-ID17l9G.html#656cef6a19,Amadora,Nova,258000,T3,99.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/fabuloso-t3-em-localizacao-premium-no-monte-estoril-com-t-ID17kRI.html#656cef6a19,Cascais,Estoril,1380000,T3,160.0,New,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t2-duplex-renovado-casal-da-cavaleira-sintra-ID17gMY.html#656cef6a19,Sintra,Martins,190000,T2,85.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-piscina-e-vista-mar-ericeira-ID17eyp.html#656cef6a19,Mafra,Ericeira,385000,T2,100.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/exclusivo-apartamento-t2-com-terraco-na-venda-do-pinheiro-ID17lIr.html#656cef6a19,Mafra,Galés,225000,T2,107.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-em-condominio-na-quinta-do-marques-ID15VCK.html#656cef6a19,Oeiras,Caxias,365000,T3,115.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t1-com-patio-privativo-em-belem-ID17c5y.html#656cef6a19,Lisboa,Belém,540000,T1,79.81,Under construction,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-3-suites-e-1-lugar-de-garagem-ID17c5G.html#656cef6a19,Lisboa,Belém,1070000,T3,153.34,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-1-suite-e-1-lugar-de-garagem-ID17c5n.html#656cef6a19,Lisboa,Belém,580000,T2,83.82,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-totalmente-remodelado-ID15ZFA.html#656cef6a19,Sintra,Mouro,189000,T3,95.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/exclusivo-apartamento-t2-com-terracos-em-mafra-ID16VyN.html#656cef6a19,Mafra,sale:,229000,T2,93.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t6-de-charme-no-areeiro-ID16STp.html#656cef6a19,Lisboa,Areeiro,1400000,T6,326.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t3-com-parqueamento-ID16JoA.html#656cef6a19,Sintra,Martins,205000,T3,100.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-2-duplex-caparide-cascais-ID17lVW.html#656cef6a19,Cascais,Rana,370000,T5,174.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/t2-totalmente-remodelado-e-mobilado-ID17lLM.html#656cef6a19,Sintra,Martins,145000,T2,70.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/deslumbrantes-apartamentos-t2-no-coracao-de-uma-das-principais-avenida-ID16mL6.html#656cef6a19,Lisboa,Novas,580000,T2,110.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t3-em-benfica-remodelado-i-pronto-a-habitar-i-oportunidade-ID17lQd.html#656cef6a19,Lisboa,Benfica,375000,T3,95.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/lisboa-chiado-apartamento-t2-totalmente-renovado-ID14xQ8.html#656cef6a19,Lisboa,Maior,895000,T2,130.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/oeiras-carnaxide-apartamento-t3-no-condominio-parque-de-santa-cruz-ID16veY.html#656cef6a19,Oeiras,Queijas,595000,T3,139.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/t3-lisboa-lumiar-ultimo-piso-novo-de-luxo-varanda-26-40-a-poente-ID17lIE.html#656cef6a19,Lisboa,Lumiar,615000,T3,190.0,New,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-varanda-e-estacionamento-na-avenida-d-ID14Bwg.html#656cef6a19,Lisboa,António,1450000,T2,109.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t4-com-terraco-e-estacionamento-em-condomin-ID15PL9.html#656cef6a19,Cascais,Estoril,1390000,T4,177.0,Used,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/lisboa-benfica-apartamento-t3-totalmente-remodelado-ID17lKn.html#656cef6a19,Lisboa,Benfica,480000,T3,134.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t6-duplex-em-carnide-piscina-jardim-ginasio-3-lugares-garagem-ID17lQm.html#656cef6a19,Lisboa,Carnide,1670000,T6,320.0,Used,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/sacavem-urbanizacao-real-forte-apartamento-t2-ID176mk.html#656cef6a19,Loures,Velho,339000,T2,123.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-em-massama-sotao-com-79m2-ID17k7g.html#656cef6a19,Sintra,Abraão,259000,T2,100.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-totalmente-renovado-para-venda-em-campolide-ID17lM7.html#656cef6a19,Lisboa,Campolide,450000,T2,117.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t4-duplex-no-campo-grande-com-3-lugares-de-estacionamento-e-terrac-ID14lGR.html#656cef6a19,Lisboa,Alvalade,1540000,T4,221.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/4-assoalhadas-com-varanda-aguas-livres-amadora-ID17lym.html#656cef6a19,Amadora,Livres,159000,T3,76.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t1-renovado-sito-na-rua-duque-de-palmela-para-venda-ID17lBh.html#656cef6a19,Lisboa,António,320000,T1,45.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t2-no-principe-real-praca-das-flores-ID1783M.html#656cef6a19,Lisboa,Misericórdia,390000,T2,75.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/apartamento-t2-com-arrecadacao-area-bruta-de-construcao-97-40-m2-ID16yO2.html#656cef6a19,Sintra,Mira-Sintra,140000,T2,72.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t4-com-202-m2-varanda-de-23m2-e-estacionamento-ID16jBz.html#656cef6a19,Lisboa,França,499000,T4,166.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t2-de-luxo-com-garagem-nas-amoreiras-ID15ArN.html#656cef6a19,Lisboa,Campolide,735000,T2,91.49,Under construction,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-3-quartos-venda-ID17lKi.html#656cef6a19,Amadora,Alfragide,170000,T3,103.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/duplex-a-venda-na-rua-alferes-barrilaro-ruas-11-ID17hnK.html#656cef6a19,Lisboa,Olivais,350000,T3,95.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-em-mafra-duplex-com-comercio-e-servicos-a-p-ID17jBK.html#656cef6a19,Mafra,sale:,220000,T2,105.0,Used,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t3-odivelas-com-arrecadacao-e-2-elevadores-ID16Iw2.html#656cef6a19,Odivelas,sale:,250000,T3,100.0,,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/t2-casal-de-cambra-junto-a-fpm-ID17cU9.html#656cef6a19,Sintra,Cambra,139000,T2,75.0,Used,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/exclusive-penthouse-t3-duplex-ID15Apb.html#656cef6a19,Lisboa,António,2150000,T3,195.0,Under construction,Bathrooms: 4 or more
https://www.imovirtual.com/en/anuncio/t2-1-duplex-ID15Aqm.html#656cef6a19,Lisboa,António,1600000,T2,142.53,Under construction,Bathrooms: 3
https://www.imovirtual.com/en/anuncio/apartamento-t0-1-remodelado-com-logradouro-e-anexo-sao-domingos-benfic-ID171P8.html#656cef6a19,Lisboa,Benfica,165000,T1,50.0,Renovated,Bathrooms: 2
https://www.imovirtual.com/en/anuncio/apartamento-t2-remodelado-centro-de-vialonga-ID17aXJ.html#656cef6a19,Xira,de,145000,T2,65.0,Renovated,Bathrooms: 1
https://www.imovirtual.com/en/anuncio/t2-remodelado-no-centro-de-alverca-do-ribatejo-proximo-da-estacao-ID17en4.html#656cef6a19,Xira,de,139000,T2,60.0,Renovated,Bathrooms: 1
