Sub-district,Borough,Price,Area (m²),Price per square meter,Bedrooms,Bathrooms,Condition
Amadora,Águas Livres,159000.0,76.0,2092.11,3,1,2
Amadora,Venteira,144500.0,65.0,2223.08,2,1,2
Amadora,Mina de Água,139000.0,60.0,2316.67,2,1,3
Amadora,Venteira,225000.0,95.0,2368.42,3,2,3
Amadora,Venteira,157000.0,70.0,2242.86,2,1,3
Amadora,Mina de Água,290000.0,135.0,2148.15,3,2,2
Amadora,Venteira,149000.0,60.0,2483.33,2,1,3
Amadora,Mina de Água,195000.0,100.0,1950.0,3,2,2
Amadora,Venteira,170000.0,65.0,2615.38,2,2,3
Amadora,Águas Livres,110000.0,40.0,2750.0,1,1,3
Amadora,Águas Livres,420000.0,174.0,2413.79,3,3,4
Amadora,Águas Livres,315000.0,98.4,3201.22,2,2,1
Amadora,Águas Livres,400000.0,129.75,3082.85,3,2,1
Amadora,Águas Livres,215000.0,60.2,3571.43,1,1,1
Amadora,Águas Livres,159000.0,75.0,2120.0,2,1,3
Amadora,Águas Livres,345000.0,120.0,2875.0,3,2,1
Amadora,Águas Livres,410000.0,164.3,2495.44,4,3,1
Amadora,Mina de Água,189500.0,100.0,1895.0,3,2,2
Amadora,Águas Livres,225000.0,60.2,3737.54,1,1,1
Amadora,Águas Livres,169500.0,70.0,2421.43,2,1,3
Amadora,Venteira,490000.0,174.0,2816.09,4,3,1
Amadora,Mina de Água,190000.0,87.0,2183.91,2,1,2
Amadora,Águas Livres,335000.0,143.0,2342.66,3,2,1
Amadora,Águas Livres,255000.0,106.0,2405.66,2,2,1
Amadora,Mina de Água,295000.0,125.0,2360.0,3,2,2
Amadora,Águas Livres,230000.0,90.0,2555.56,1,1,2
Amadora,Águas Livres,460000.0,184.0,2500.0,4,3,4
Amadora,Águas Livres,480000.0,163.0,2944.79,4,3,4
Amadora,Águas Livres,300000.0,83.0,3614.46,2,2,4
Amadora,Águas Livres,410000.0,137.0,2992.7,3,2,4
Amadora,Águas Livres,475000.0,163.0,2914.11,4,3,4
Amadora,Águas Livres,415000.0,137.0,3029.2,3,2,4
Amadora,Águas Livres,346000.0,135.0,2562.96,2,2,4
Amadora,Venteira,225000.0,120.0,1875.0,3,2,2
Amadora,Mina de Água,165000.0,69.0,2391.3,2,1,2
Amadora,Águas Livres,175000.0,66.0,2651.52,2,1,3
Amadora,Águas Livres,122000.0,57.0,2140.35,1,1,3
Amadora,Águas Livres,135000.0,71.0,1901.41,2,1,2
Amadora,Mina de Água,95000.0,25.0,3800.0,1,1,2
Amadora,Mina de Água,172000.0,75.0,2293.33,3,1,2
Amadora,Venteira,243000.0,90.0,2700.0,2,1,1
Amadora,Venteira,179000.0,75.0,2386.67,3,2,3
Amadora,Venteira,138500.0,62.0,2233.87,2,1,2
Amadora,Águas Livres,180000.0,71.0,2535.21,2,1,3
Amadora,Venteira,469000.0,185.0,2535.14,4,4,2
Amadora,Mina de Água,95000.0,25.0,3800.0,1,1,3
Amadora,Águas Livres,370000.0,140.72,2629.33,3,2,4
Amadora,Venteira,245000.0,100.0,2450.0,4,2,2
Amadora,Venteira,227000.0,96.0,2364.58,2,2,1
Amadora,Águas Livres,465000.0,201.0,2313.43,4,3,2
Amadora,Águas Livres,322500.0,98.4,3277.44,2,2,1
Amadora,Águas Livres,520000.0,129.75,4007.71,3,2,1
Amadora,Águas Livres,325000.0,98.4,3302.85,2,2,1
Amadora,Águas Livres,345000.0,120.0,2875.0,2,2,1
Amadora,Águas Livres,180000.0,72.0,2500.0,2,1,2
Amadora,Venteira,345000.0,141.0,2446.81,2,2,1
Amadora,Águas Livres,225000.0,60.2,3737.54,1,1,4
Amadora,Águas Livres,315000.0,94.8,3322.78,2,2,4
Amadora,Águas Livres,520000.0,129.75,4007.71,3,2,1
Amadora,Águas Livres,355000.0,120.0,2958.33,3,2,1
Amadora,Águas Livres,110000.0,40.0,2750.0,1,1,2
Amadora,Mina de Água,172000.0,78.0,2205.13,3,1,3
Amadora,Águas Livres,165000.0,70.0,2357.14,2,1,3
Amadora,Águas Livres,212500.0,104.0,2043.27,4,2,2
Amadora,Águas Livres,330000.0,139.0,2374.1,3,2,1
Amadora,Águas Livres,250000.0,95.0,2631.58,2,2,1
Amadora,Águas Livres,250000.0,92.0,2717.39,2,2,1
Amadora,Águas Livres,410000.0,164.0,2500.0,4,3,1
Amadora,Águas Livres,405000.0,164.0,2469.51,4,3,1
Amadora,Venteira,247000.0,115.0,2147.83,2,2,1
Amadora,Venteira,247000.0,90.0,2744.44,2,1,1
Amadora,Venteira,247000.0,96.0,2572.92,2,2,1
Amadora,Venteira,289000.0,130.0,2223.08,3,2,1
Amadora,Venteira,225000.0,88.0,2556.82,3,2,1
Amadora,Venteira,235000.0,90.0,2611.11,3,2,1
Amadora,Águas Livres,310000.0,89.3,3471.44,2,2,1
Amadora,Águas Livres,402500.0,129.75,3102.12,3,2,1
Amadora,Águas Livres,317500.0,98.4,3226.63,2,2,1
Amadora,Águas Livres,405000.0,129.75,3121.39,3,2,1
Amadora,Águas Livres,320000.0,98.4,3252.03,2,2,1
Amadora,Águas Livres,407500.0,129.75,3140.66,3,2,1
Amadora,Mina de Água,195000.0,82.0,2378.05,2,2,3
Amadora,Venteira,197500.0,75.0,2633.33,3,2,3
Amadora,Venteira,165000.0,62.0,2661.29,2,2,3
Amadora,Águas Livres,219700.0,82.0,2679.27,2,2,3
Amadora,Venteira,210000.0,86.0,2441.86,2,1,3
Amadora,Águas Livres,255000.0,106.26,2399.77,2,2,4
Amadora,Águas Livres,370000.0,140.12,2640.59,3,2,4
Amadora,Venteira,157500.0,70.0,2250.0,2,1,3
Amadora,Águas Livres,405000.0,140.0,2892.86,4,2,1
Amadora,Águas Livres,405000.0,146.0,2773.97,4,2,1
Amadora,Águas Livres,280000.0,95.0,2947.37,2,2,1
Amadora,Águas Livres,298000.0,107.0,2785.05,2,2,1
Amadora,Águas Livres,275000.0,95.0,2894.74,2,2,1
Amadora,Águas Livres,265000.0,82.0,3231.71,2,2,1
Amadora,Mina de Água,125000.0,50.0,2500.0,1,1,3
Amadora,Águas Livres,295000.0,105.0,2809.52,2,2,1
Amadora,Águas Livres,295000.0,102.0,2892.16,2,2,1
Amadora,Águas Livres,270000.0,95.0,2842.11,2,2,1
Amadora,Mina de Água,250000.0,117.0,2136.75,3,2,3
Amadora,Águas Livres,260000.0,82.0,3170.73,2,2,1
Amadora,Venteira,300000.0,85.0,3529.41,2,2,1
Amadora,Venteira,370000.0,105.0,3523.81,3,2,1
Amadora,Mina de Água,135000.0,55.0,2454.55,1,1,3
Amadora,Venteira,282000.0,112.75,2501.11,3,3,4
Amadora,Venteira,236000.0,83.7,2819.59,2,2,4
Amadora,Venteira,284500.0,112.75,2523.28,3,3,4
Amadora,Águas Livres,159000.0,56.0,2839.29,2,1,3
Amadora,Águas Livres,300000.0,83.0,3614.46,2,2,4
Amadora,Águas Livres,410000.0,137.0,2992.7,3,2,4
Amadora,Águas Livres,475000.0,163.0,2914.11,4,3,4
Amadora,Águas Livres,410000.0,137.0,2992.7,3,2,4
Amadora,Águas Livres,300000.0,83.0,3614.46,2,2,4
Amadora,Águas Livres,300000.0,83.0,3614.46,2,2,4
Amadora,Águas Livres,475000.0,163.0,2914.11,4,3,4
Amadora,Águas Livres,410000.0,137.0,2992.7,3,2,4
Amadora,Águas Livres,475000.0,163.0,2914.11,4,3,4
Amadora,Águas Livres,300000.0,83.0,3614.46,2,2,4
Amadora,Mina de Água,125000.0,57.0,2192.98,2,1,2
Amadora,Mina de Água,172500.0,79.0,2183.54,3,1,3
Amadora,Venteira,138500.0,70.75,1957.6,2,1,1
Amadora,Venteira,149000.0,60.0,2483.33,2,1,3
Amadora,Venteira,179000.0,70.0,2557.14,3,2,3
Amadora,Venteira,159000.0,35.0,4542.86,1,1,3
Amadora,Mina de Água,179000.0,75.0,2386.67,2,1,3
Amadora,Águas Livres,175000.0,60.0,2916.67,2,1,3
Amadora,Mina de Água,149000.0,55.0,2709.09,1,1,3
Amadora,Venteira,299000.0,125.0,2392.0,3,2,1
Amadora,Venteira,247000.0,93.0,2655.91,2,2,1
Amadora,Venteira,299000.0,125.0,2392.0,3,2,1
Amadora,Venteira,289000.0,125.0,2312.0,3,2,1
Amadora,Venteira,247000.0,85.0,2905.88,2,1,1
Amadora,Venteira,247000.0,110.0,2245.45,2,2,1
Amadora,Águas Livres,169000.0,65.81,2568.0,2,1,3
Amadora,Mina de Água,135000.0,60.0,2250.0,1,1,3
Amadora,Águas Livres,275000.0,136.45,2015.39,2,2,4
Amadora,Mina de Água,145500.0,70.0,2078.57,2,1,3
Amadora,Águas Livres,345000.0,144.0,2395.83,2,2,1
Amadora,Águas Livres,495000.0,206.0,2402.91,4,3,1
Amadora,Águas Livres,420000.0,174.0,2413.79,3,3,1
Amadora,Águas Livres,490000.0,206.0,2378.64,4,3,1
Amadora,Águas Livres,415000.0,174.0,2385.06,3,3,1
Amadora,Águas Livres,185000.0,90.0,2055.56,3,2,2
Amadora,Águas Livres,270000.0,119.0,2268.91,2,2,4
Amadora,Águas Livres,335000.0,136.45,2455.11,3,2,4
Amadora,Águas Livres,255000.0,106.26,2399.77,2,2,4
Amadora,Águas Livres,335000.0,143.25,2338.57,3,2,4
Amadora,Águas Livres,243000.0,76.0,3197.37,2,1,4
Amadora,Águas Livres,265000.0,88.0,3011.36,2,1,4
Amadora,Venteira,252500.0,90.5,2790.06,2,2,4
Amadora,Venteira,265000.0,90.0,2944.44,2,2,4
Amadora,Venteira,264000.0,93.0,2838.71,2,2,4
Amadora,Venteira,269000.0,93.0,2892.47,2,2,4
Amadora,Venteira,244500.0,83.7,2921.15,2,2,4
Amadora,Venteira,332500.0,132.0,2518.94,3,3,4
Amadora,Venteira,320000.0,126.0,2539.68,3,3,4
Amadora,Venteira,241000.0,87.6,2751.14,2,2,4
Amadora,Venteira,322500.0,126.0,2559.52,3,3,4
Amadora,Venteira,287000.0,112.75,2545.45,3,3,4
Amadora,Venteira,245000.0,87.6,2796.8,2,2,4
Amadora,Venteira,300000.0,112.75,2660.75,3,3,4
Amadora,Venteira,248000.0,87.6,2831.05,2,2,4
Amadora,Venteira,250500.0,87.6,2859.59,2,2,4
Amadora,Venteira,302500.0,112.75,2682.93,3,3,4
Amadora,Venteira,253000.0,87.6,2888.13,2,2,4
Amadora,Venteira,332500.0,126.0,2638.89,3,3,4
Amadora,Águas Livres,410000.0,142.0,2887.32,4,2,4
Amadora,Águas Livres,270000.0,99.0,2727.27,2,1,4
Amadora,Águas Livres,350000.0,88.0,3977.27,3,2,4
Amadora,Águas Livres,365000.0,110.0,3318.18,3,2,4
Amadora,Águas Livres,310000.0,98.0,3163.27,2,1,4
Amadora,Águas Livres,265000.0,88.0,3011.36,2,1,4
Amadora,Águas Livres,278000.0,98.0,2836.73,2,1,4
Amadora,Mina de Água,187500.0,83.0,2259.04,3,2,3
Amadora,Águas Livres,270000.0,99.0,2727.27,2,1,4
Amadora,Águas Livres,340000.0,113.0,3008.85,3,2,4
Amadora,Águas Livres,275000.0,98.0,2806.12,2,1,4
Amadora,Águas Livres,255000.0,88.0,2897.73,2,1,4
Amadora,Águas Livres,335000.0,121.0,2768.6,3,2,4
Amadora,Águas Livres,370000.0,115.0,3217.39,3,2,4
Amadora,Águas Livres,335000.0,113.0,2964.6,3,2,4
Amadora,Águas Livres,289000.0,130.0,2223.08,3,2,4
Amadora,Mina de Água,149000.0,60.0,2483.33,2,1,3
Amadora,Venteira,299000.0,130.0,2300.0,3,2,1
Amadora,Venteira,247000.0,90.0,2744.44,2,2,1
Amadora,Águas Livres,310000.0,121.28,2556.07,2,2,1
Amadora,Venteira,299000.0,120.0,2491.67,3,2,1
Amadora,Venteira,289000.0,120.0,2408.33,3,2,1
Amadora,Venteira,247000.0,80.0,3087.5,2,2,1
Amadora,Venteira,247000.0,100.0,2470.0,2,2,1
Amadora,Mina de Água,172000.0,80.0,2150.0,3,1,3
Amadora,Mina de Água,156000.0,65.0,2400.0,2,1,3
Amadora,Venteira,289000.0,115.0,2513.04,3,2,1
Amadora,Mina de Água,170000.0,80.15,2121.02,3,1,3
Amadora,Águas Livres,350000.0,120.4,2906.98,3,2,1
Amadora,Águas Livres,410000.0,164.3,2495.44,4,3,1
Amadora,Águas Livres,405000.0,163.4,2478.58,4,3,1
Amadora,Mina de Água,172000.0,80.15,2145.98,3,1,3
Amadora,Águas Livres,465000.0,201.0,2313.43,4,3,2
Amadora,Mina de Água,312500.0,103.17,3028.98,2,2,1
Amadora,Águas Livres,250000.0,95.0,2631.58,2,2,1
Amadora,Águas Livres,210000.0,110.0,1909.09,2,1,3
Amadora,Mina de Água,320000.0,150.0,2133.33,4,3,2
Amadora,Águas Livres,250000.0,102.0,2450.98,3,2,2
Amadora,Venteira,289000.0,130.0,2223.08,3,2,1
Amadora,Águas Livres,330000.0,112.0,2946.43,3,2,1
Amadora,Águas Livres,410000.0,133.13,3079.7,4,3,4
Amadora,Venteira,150000.0,75.0,2000.0,4,1,2
Amadora,Águas Livres,180000.0,85.0,2117.65,2,1,2
Amadora,Águas Livres,335000.0,113.0,2964.6,3,2,1
Amadora,Águas Livres,345000.0,115.03,2999.22,3,2,1
Amadora,Águas Livres,340000.0,113.0,3008.85,3,2,1
Amadora,Águas Livres,405000.0,130.86,3094.91,4,3,1
Amadora,Águas Livres,410000.0,133.13,3079.7,4,3,1
Amadora,Águas Livres,350000.0,122.0,2868.85,3,2,1
Amadora,Águas Livres,260000.0,90.0,2888.89,2,2,1
Amadora,Águas Livres,340000.0,141.0,2411.35,3,1,1
Amadora,Águas Livres,345000.0,141.0,2446.81,3,2,1
Amadora,Águas Livres,260000.0,92.0,2826.09,2,1,1
Amadora,Águas Livres,260000.0,95.0,2736.84,2,1,1
Amadora,Águas Livres,335000.0,138.0,2427.54,3,2,1
Amadora,Águas Livres,350000.0,120.0,2916.67,3,2,1
Amadora,Águas Livres,180000.0,65.0,2769.23,2,1,2
Amadora,Venteira,149000.0,60.0,2483.33,2,1,3
Amadora,Águas Livres,165000.0,58.7,2810.9,2,1,3
Amadora,Mina de Água,149000.0,60.0,2483.33,2,1,3
Amadora,Venteira,165000.0,105.0,1571.43,3,2,2
Amadora,Águas Livres,415000.0,174.0,2385.06,3,3,1
Amadora,Águas Livres,155000.0,90.75,1707.99,2,1,2
Amadora,Águas Livres,95000.0,40.0,2375.0,0,1,2
Amadora,Mina de Água,150000.0,65.0,2307.69,2,1,3
Amadora,Venteira,169500.0,80.0,2118.75,2,1,2
Amadora,Águas Livres,325000.0,98.0,3316.33,2,2,1
Amadora,Águas Livres,520000.0,130.0,4000.0,3,2,1
Amadora,Águas Livres,407500.0,130.0,3134.62,3,2,1
Amadora,Águas Livres,322500.0,98.0,3290.82,2,2,1
Amadora,Mina de Água,138500.0,70.0,1978.57,2,1,3
Amadora,Mina de Água,327000.0,109.0,3000.0,3,2,2
Amadora,Mina de Água,105000.0,88.0,1193.18,1,1,3
Amadora,Águas Livres,425000.0,142.0,2992.96,4,3,4
Amadora,Mina de Água,200000.0,110.0,1818.18,3,2,2
Amadora,Águas Livres,405000.0,129.0,3139.53,3,2,1
Amadora,Águas Livres,320000.0,98.0,3265.31,2,2,1
Amadora,Mina de Água,139500.0,68.0,2051.47,2,1,2
Amadora,Águas Livres,350000.0,112.66,3106.69,3,2,4
Amadora,Águas Livres,370000.0,112.0,3303.57,3,2,1
Amadora,Águas Livres,405000.0,154.0,2629.87,4,3,1
Amadora,Venteira,315000.0,98.0,3214.29,2,2,1
Amadora,Venteira,300000.0,105.0,2857.14,2,2,2
Amadora,Venteira,289000.0,129.0,2240.31,3,2,1
Amadora,Venteira,299000.0,129.0,2317.83,3,2,1
Amadora,Águas Livres,128000.0,62.5,2048.0,2,1,2
Amadora,Venteira,135000.0,54.0,2500.0,2,1,2
Amadora,Venteira,160000.0,57.0,2807.02,2,1,3
Amadora,Mina de Água,220000.0,115.0,1913.04,4,2,3
Amadora,Águas Livres,335000.0,113.0,2964.6,3,2,1
Amadora,Venteira,170000.0,65.0,2615.38,2,1,3
Amadora,Venteira,289000.0,130.0,2223.08,3,2,1
Amadora,Venteira,247000.0,90.0,2744.44,2,2,1
Amadora,Venteira,120000.0,40.0,3000.0,1,1,2
Amadora,Mina de Água,195000.0,65.0,3000.0,3,2,3
Amadora,Águas Livres,335000.0,143.25,2338.57,3,2,1
Amadora,Águas Livres,365000.0,132.54,2753.89,3,2,1
Amadora,Águas Livres,410000.0,130.0,3153.85,4,2,1
Amadora,Águas Livres,175000.0,80.0,2187.5,2,1,3
Amadora,Águas Livres,410000.0,142.0,2887.32,4,3,1
Amadora,Águas Livres,340000.0,121.0,2809.92,3,2,1
Amadora,Águas Livres,335000.0,121.0,2768.6,3,2,1
Amadora,Venteira,287500.0,124.0,2318.55,3,2,2
Amadora,Águas Livres,255000.0,106.26,2399.77,2,2,4
Amadora,Venteira,289000.0,130.0,2223.08,3,2,1
Amadora,Mina de Água,156000.0,60.0,2600.0,2,1,3
Amadora,Mina de Água,172000.0,70.0,2457.14,3,2,3
Amadora,Mina de Água,172000.0,80.0,2150.0,3,1,3
Amadora,Águas Livres,345000.0,144.0,2395.83,2,2,4
Amadora,Mina de Água,145500.0,70.0,2078.57,2,1,3
Amadora,Venteira,289000.0,129.9,2224.79,3,2,4
Amadora,Venteira,289000.0,129.9,2224.79,3,2,4
Amadora,Venteira,145000.0,69.0,2101.45,2,1,3
Amadora,Mina de Água,169000.0,75.0,2253.33,3,1,3
Amadora,Mina de Água,172000.0,80.0,2150.0,3,1,3
Amadora,Mina de Água,169000.0,65.0,2600.0,3,1,3
Amadora,Mina de Água,169000.0,80.0,2112.5,3,1,3
Amadora,Águas Livres,315000.0,127.0,2480.31,2,2,4
Amadora,Águas Livres,310000.0,112.0,2767.86,2,1,4
Amadora,Águas Livres,415000.0,174.0,2385.06,3,3,4
Amadora,Águas Livres,495000.0,206.0,2402.91,4,3,4
Amadora,Águas Livres,490000.0,206.0,2378.64,4,3,4
Amadora,Águas Livres,345000.0,144.0,2395.83,2,2,4
Amadora,Águas Livres,500000.0,206.0,2427.18,4,3,4
Amadora,Águas Livres,350000.0,144.0,2430.56,2,2,4
Amadora,Águas Livres,250000.0,95.0,2631.58,2,2,4
Amadora,Venteira,225000.0,88.0,2556.82,3,2,1
Amadora,Águas Livres,420000.0,174.0,2413.79,3,3,4
Amadora,Venteira,289000.0,120.0,2408.33,3,2,4
Amadora,Águas Livres,405000.0,142.0,2852.11,4,3,1
Amadora,Águas Livres,405000.0,163.4,2478.58,4,3,4
Amadora,Águas Livres,330000.0,138.85,2376.67,3,2,4
Amadora,Águas Livres,250000.0,95.0,2631.58,2,2,4
Amadora,Mina de Água,95000.0,25.0,3800.0,1,1,2
Amadora,Águas Livres,345000.0,120.0,2875.0,3,2,4
Amadora,Águas Livres,270000.0,100.0,2700.0,2,2,4
Amadora,Venteira,289000.0,130.0,2223.08,3,2,4
Amadora,Águas Livres,405000.0,130.0,3115.38,4,3,1
Amadora,Águas Livres,347000.0,341.0,1017.6,3,2,1
Amadora,Águas Livres,270000.0,341.0,791.79,2,2,1
Amadora,Venteira,225000.0,101.0,2227.72,3,2,2
Amadora,Águas Livres,250000.0,80.75,3095.98,2,2,4
Amadora,Águas Livres,405000.0,141.0,2872.34,4,2,1
Amadora,Águas Livres,350000.0,102.0,3431.37,3,2,1
Amadora,Águas Livres,250000.0,79.0,3164.56,2,1,1
Amadora,Águas Livres,91500.0,35.0,2614.29,1,1,2
Amadora,Venteira,287000.0,129.82,2210.75,3,2,4
Amadora,Águas Livres,405000.0,163.4,2478.58,4,2,4
Amadora,Águas Livres,197000.0,100.0,1970.0,3,2,2
Amadora,Venteira,290000.0,129.0,2248.06,3,2,4
Amadora,Venteira,285000.0,129.0,2209.3,3,2,4
Amadora,Mina de Água,96000.0,43.5,2206.9,1,1,2
Amadora,Mina de Água,220000.0,99.3,2215.51,3,2,2
Amadora,Venteira,169000.0,75.0,2253.33,2,1,3
Amadora,Águas Livres,300000.0,92.0,3260.87,2,1,1
Amadora,Mina de Água,95000.0,30.0,3166.67,1,1,2
Amadora,Mina de Água,135000.0,60.0,2250.0,1,1,3
Amadora,Venteira,149000.0,60.0,2483.33,2,1,3
Amadora,Venteira,243000.0,90.0,2700.0,2,1,1
Amadora,Águas Livres,210000.0,110.0,1909.09,2,1,3
Amadora,Águas Livres,298000.0,107.0,2785.05,2,2,1
Amadora,Venteira,299000.0,130.0,2300.0,3,2,1
Amadora,Águas Livres,278000.0,118.0,2355.93,2,2,1
Amadora,Venteira,247000.0,80.0,3087.5,2,2,1
Amadora,Venteira,247000.0,100.0,2470.0,2,2,1
Amadora,Venteira,299000.0,120.0,2491.67,3,2,1
Amadora,Venteira,243000.0,96.0,2531.25,2,2,1
Amadora,Águas Livres,265000.0,82.0,3231.71,2,2,1
Amadora,Águas Livres,295000.0,105.0,2809.52,2,2,1
Amadora,Águas Livres,260000.0,90.0,2888.89,2,2,1
Amadora,Águas Livres,335000.0,137.0,2445.26,3,2,1
Amadora,Águas Livres,335000.0,144.0,2326.39,3,2,1
Amadora,Águas Livres,260000.0,95.0,2736.84,2,1,1
Amadora,Águas Livres,350000.0,120.0,2916.67,3,2,1
Amadora,Venteira,299000.0,125.0,2392.0,3,2,1
